Eastern Conference,W,L,W/L%,GB,PS/G,PA/G,SRS,Year,Conference,Western Conference
New York Knicks*,43,39,.524,12.0,91.6,89.1,2.74,1998,Eastern,
New Jersey Nets*,43,39,.524,12.0,99.6,98.1,1.88,1998,Eastern,
Washington Wizards,42,40,.512,13.0,97.2,96.6,1.11,1998,Eastern,
Orlando Magic,41,41,.500,14.0,90.1,91.2,-0.53,1998,Eastern,
Boston Celtics,36,46,.439,19.0,95.9,98.5,-1.96,1998,Eastern,
Philadelphia 76ers,31,51,.378,24.0,93.3,95.7,-1.89,1998,Eastern,
Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,1998,Eastern,
Chicago Bulls*,62,20,.756,—,96.7,89.6,7.24,1998,Eastern,
Indiana Pacers*,58,24,.707,4.0,96.0,89.9,6.25,1998,Eastern,
Charlotte Hornets*,51,31,.622,11.0,96.6,94.6,2.45,1998,Eastern,
Atlanta Hawks*,50,32,.610,12.0,95.9,92.3,3.85,1998,Eastern,
Cleveland Cavaliers*,47,35,.573,15.0,92.5,89.8,3.06,1998,Eastern,
Detroit Pistons,37,45,.451,25.0,94.2,92.6,1.95,1998,Eastern,
Milwaukee Bucks,36,46,.439,26.0,94.5,96.4,-1.33,1998,Eastern,
Toronto Raptors,16,66,.195,46.0,94.9,104.2,-8.33,1998,Eastern,
,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,Midwest Division,1998,Western,Midwest Division
,62,20,.756,—,101.0,94.4,5.73,1998,Western,Utah Jazz*
,56,26,.683,6.0,92.5,88.5,3.30,1998,Western,San Antonio Spurs*
,45,37,.549,17.0,101.1,100.4,0.17,1998,Western,Minnesota Timberwolves*
,41,41,.500,21.0,98.8,99.5,-1.23,1998,Western,Houston Rockets*
,20,62,.244,42.0,91.4,97.5,-6.33,1998,Western,Dallas Mavericks
,19,63,.232,43.0,96.6,103.9,-7.47,1998,Western,Vancouver Grizzlies
,11,71,.134,51.0,89.0,100.8,-11.74,1998,Western,Denver Nuggets
,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,Pacific Division,1998,Western,Pacific Division
,61,21,.744,—,100.6,93.4,6.33,1998,Western,Seattle SuperSonics*
,61,21,.744,—,105.5,97.8,6.88,1998,Western,Los Angeles Lakers*
,56,26,.683,5.0,99.6,94.4,4.44,1998,Western,Phoenix Suns*
,46,36,.561,15.0,94.3,92.9,0.83,1998,Western,Portland Trail Blazers*
,27,55,.329,34.0,93.1,98.7,-5.83,1998,Western,Sacramento Kings
,19,63,.232,42.0,88.3,97.4,-9.20,1998,Western,Golden State Warriors
,17,65,.207,44.0,95.9,103.3,-7.53,1998,Western,Los Angeles Clippers
Miami Heat*,33,17,.660,—,89.0,84.0,5.11,1999,Eastern,
Orlando Magic*,33,17,.660,—,89.5,86.9,3.11,1999,Eastern,
Philadelphia 76ers*,28,22,.560,5.0,89.7,87.6,2.56,1999,Eastern,
New York Knicks*,27,23,.540,6.0,86.4,85.4,1.45,1999,Eastern,
Boston Celtics,19,31,.380,14.0,93.0,94.9,-1.75,1999,Eastern,
Washington Wizards,18,32,.360,15.0,91.2,93.4,-1.75,1999,Eastern,
New Jersey Nets,16,34,.320,17.0,91.4,95.2,-3.20,1999,Eastern,
Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,Central Division,1999,Eastern,
Indiana Pacers*,33,17,.660,—,94.7,90.9,3.86,1999,Eastern,
Atlanta Hawks*,31,19,.620,2.0,86.3,83.4,2.82,1999,Eastern,
Detroit Pistons*,29,21,.580,4.0,90.4,86.9,3.97,1999,Eastern,
Milwaukee Bucks*,28,22,.560,5.0,91.7,90.0,1.66,1999,Eastern,
Charlotte Hornets,26,24,.520,7.0,92.9,93.0,0.63,1999,Eastern,
Toronto Raptors,23,27,.460,10.0,91.1,92.8,-1.32,1999,Eastern,
